,synonyms_text
0,此の節はエトワールと月の輪が光ってる。此のごろまででいの一番純麗な一天である。
1,今日此頃はスターと月読みが光ってる。此節まででいの一番かわいらしいな宙である。
2,現代は星印とお月さまが光ってる。日頃まででぴか一清白な穴凹である。
3,今日このごろは辰星と暦月が光ってる。今日此の頃までで一等麗らかな虚である。
4,今日此頃はスターと月明りが光ってる。当座までで初め清いな穴である。
5,最近は星印と御月様が光ってる。輓近までで第一奇麗なうろである。
6,此のほどは星章と月夜見が光ってる。此頃までで随一素敵な穴隙である。
7,現下はスターと月光が光ってる。此の頃までで随一素的な穴ぼこである。
8,本日は星章と月夜見が光ってる。此のほどまでで一等クリーンな孔である。
9,当今はスターと月の輪が光ってる。当節までで一番目ビューティフルな空洞である。
10,今節はエトワールと玉兎が光ってる。当座までで第一ビューティフルな天の原である。
11,現下はスタアと月読みが光ってる。此の節までで1番かわいらしいな空白である。
12,輓近は星斗と月の輪が光ってる。此のほどまでで１番幼気な宙である。
13,現今は星印と月明りが光ってる。刻下まででピン眉目好いな洞である。
14,最近はスターと月影が光ってる。現世までで第一クリーンな空きである。
15,当世はスタアとムーンライトが光ってる。現時点までで一等清いな穴凹である。
16,当今は星章と月明りが光ってる。今日此頃までで随一可愛いな雲居である。
17,刻下はスターと月光が光ってる。今日このごろまでで第一見目良いなスカイである。
18,頃来は星章と玉兎が光ってる。当今までで１番素適な空きである。
19,現時点は星章と月読が光ってる。昨今まででぴか一麗らな九天である。
